repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version
ctbfl/sort_battery,ctbfl,koch,100,39728,30,"observation.images.laptop,observation.images.phone,observation.images.wrist",3,"observation.images.laptop,observation.images.phone,observation.images.wrist",True,1,"{""0"": ""put the battery into battery_box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
yaotot/grasp_RedtoYellow_cube_sim,yaotot,,220,39353,10,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img",3,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img",True,1,"{""0"": ""pick the red cube to the yellow plant""}",False,False,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img,observation.state,observation.joint_velocities,action,observation.ee_pos_quat,observation.gripper_position,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
physical-intelligence/aloha_pen_uncap_diverse,physical-intelligence,aloha,123,36900,50,"observation.images.cam_high,observation.images.cam_low,observation.images.cam_left_wrist,observation.images.cam_right_wrist",4,,False,1,"{""0"": ""uncap the pen""}",False,False,"observation.state,action,observation.velocity,observation.effort,observation.images.cam_high,observation.images.cam_low,observation.images.cam_left_wrist,observation.images.cam_right_wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
lerobot/pusht,lerobot,unknown,206,25650,10,observation.image,1,observation.image,True,1,"{""0"": ""Push the T-shaped block onto the T-shaped target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,next.success,index,task_index",1000,1,v2.0
lerobot/aloha_sim_insertion_human,lerobot,aloha,50,25000,50,observation.images.top,1,observation.images.top,True,1,"{""0"": ""Insert the peg into the socket.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_insertion_scripted,lerobot,aloha,50,20000,50,observation.images.top,1,observation.images.top,True,1,"{""0"": ""Insert the peg into the socket.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_transfer_cube_scripted,lerobot,aloha,50,20000,50,observation.images.top,1,observation.images.top,True,1,"{""0"": ""Pick up the cube with the right arm and transfer it to the left arm.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_lift_medium,lerobot,unknown,800,20000,15,observation.image,1,observation.image,True,1,"{""0"": ""Pick up the cube and lift it.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_lift_medium_replay,lerobot,unknown,800,20000,15,observation.image,1,observation.image,True,1,"{""0"": ""Pick up the cube and lift it.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_push_medium,lerobot,unknown,800,20000,15,observation.image,1,observation.image,True,1,"{""0"": ""Push the cube onto the target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_push_medium_replay,lerobot,unknown,800,20000,15,observation.image,1,observation.image,True,1,"{""0"": ""Push the cube onto the target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_screw_driver,lerobot,aloha,50,20000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the screwdriver with the right arm, hand it over to the left arm then place it into the cup.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_candy,lerobot,aloha,50,35000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the candy and unwrap it.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_wipe_wine,lerobot,aloha,50,65000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the wet cloth on the faucet and use it to clean the spilled wine on the table and underneath the glass.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_coffee,lerobot,aloha,50,55000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Place the coffee capsule inside the capsule container, then place the cup onto the center of the cup tray, then push the 'Hot Water' and 'Travel Mug' buttons.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_towel,lerobot,aloha,50,25000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up a piece of paper towel and place it on the spilled liquid.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_vinh_cup,lerobot,aloha,101,45500,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the platic cup with the right arm, then pop its lid open with the left arm.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_vinh_cup_left,lerobot,aloha,100,50000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the platic cup with the left arm, then pop its lid open with the right arm.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_ziploc_slide,lerobot,aloha,56,16800,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Slide open the ziploc bag.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_coffee_new,lerobot,aloha,50,75000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Place the coffee capsule inside the capsule container, then place the cup onto the center of the cup tray.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_cups_open,lerobot,aloha,50,20000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the plastic cup and open its lid.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_pingpong_test,lerobot,aloha,10,6000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Transfer one of the two balls in the right glass into the left glass, then transfer it back to the right glass.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_static_pro_pencil,lerobot,aloha,25,8750,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",4,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the pencil with the right arm, hand it over to the left arm then place it back onto the table.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_shrimp,lerobot,aloha,18,67500,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Saut\u00e9 the raw shrimp on both sides, then serve it in the bowl.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_wash_pan,lerobot,aloha,50,55000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Pick up the pan, rinse it in the sink and then place it in the drying rack.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_lift_medium_image,lerobot,unknown,800,20000,15,observation.image,1,,False,1,"{""0"": ""Pick up the cube and lift it.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_lift_medium_replay_image,lerobot,unknown,800,20000,15,observation.image,1,,False,1,"{""0"": ""Pick up the cube and lift it.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_push_medium_image,lerobot,unknown,800,20000,15,observation.image,1,,False,1,"{""0"": ""Push the cube onto the target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/xarm_push_medium_replay_image,lerobot,unknown,800,20000,15,observation.image,1,,False,1,"{""0"": ""Push the cube onto the target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_cabinet,lerobot,aloha,85,127500,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Open the top cabinet, store the pot inside it then close the cabinet.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_chair,lerobot,aloha,55,110000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Push the chairs in front of the desk to place them against it.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_mobile_elevator,lerobot,aloha,20,45000,50,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",3,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist",True,1,"{""0"": ""Take the elevator to the 1st floor.""}",False,False,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_insertion_scripted_image,lerobot,aloha,50,20000,50,observation.images.top,1,,False,1,"{""0"": ""Insert the peg into the socket.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_transfer_cube_human_image,lerobot,aloha,50,20000,50,observation.images.top,1,,False,1,"{""0"": ""Pick up the cube with the right arm and transfer it to the left arm.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_transfer_cube_scripted_image,lerobot,aloha,50,20000,50,observation.images.top,1,,False,1,"{""0"": ""Pick up the cube with the right arm and transfer it to the left arm.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/aloha_sim_insertion_human_image,lerobot,aloha,50,25000,50,observation.images.top,1,,False,1,"{""0"": ""Insert the peg into the socket.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/unitreeh1_rearrange_objects,lerobot,unknown,30,7150,50,"observation.images.cam_left,observation.images.cam_right",2,"observation.images.cam_left,observation.images.cam_right",True,1,"{""0"": ""Put the object into the bin.""}",False,False,"observation.images.cam_left,observation.images.cam_right,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/unitreeh1_two_robot_greeting,lerobot,unknown,30,3750,50,"observation.images.cam_left,observation.images.cam_right",2,"observation.images.cam_left,observation.images.cam_right",True,1,"{""0"": ""Greet the other robot with a high five.""}",False,False,"observation.images.cam_left,observation.images.cam_right,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/unitreeh1_warehouse,lerobot,unknown,24,11275,50,"observation.images.cam_left,observation.images.cam_right",2,"observation.images.cam_left,observation.images.cam_right",True,1,"{""0"": ""Grab the spray paint on the shelf and place it in the bin on top of the robot dog.""}",False,False,"observation.images.cam_left,observation.images.cam_right,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
HumanoidTeam/aloha_sim_insertion_scripted_multicam,HumanoidTeam,unknown,50,20000,50,"observation.images.left_wrist,observation.images.right_wrist,observation.images.top",3,"observation.images.left_wrist,observation.images.right_wrist,observation.images.top",True,1,"{""0"": ""Insert the red object into the blue object.""}",True,False,"observation.images.left_wrist,observation.images.right_wrist,observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/pusht_keypoints,lerobot,unknown,206,25650,10,,0,,False,1,"{""0"": ""Push the T-shaped block onto the T-shaped target.""}",False,False,"observation.state,observation.environment_state,action,episode_index,frame_index,timestamp,next.reward,next.done,next.success,index,task_index",1000,1,v2.0
lerobot/nyu_rot_dataset,lerobot,unknown,14,440,5,observation.images.image,1,observation.images.image,True,12,"{""0"": ""erase the board"", ""1"": ""hang the hanger on the rod"", ""2"": ""reach the blue mark on the table"", ""3"": ""close the door"", ""4"": ""stack the cups"", ""5"": ""turn the knob"", ""6"": ""insert the peg in the cup"", ""7"": ""press the button"", ""8"": ""hang the bag on the hook"", ""9"": ""open the box"", ""10"": ""pour the almonds into the cup"", ""11"": ""hang the mug on the hook""}",False,False,"observation.images.image,language_instruction,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/tokyo_u_lsmo,lerobot,unknown,50,11925,5,observation.images.image,1,observation.images.image,True,2,"{""0"": ""avoid obstacle and reach the blue pen"", ""1"": ""avoid obstacle and reach the scissors""}",False,False,"observation.images.image,language_instruction,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/utokyo_pr2_opening_fridge,lerobot,unknown,80,11522,5,observation.images.image,1,observation.images.image,True,1,"{""0"": ""opening the fridge""}",False,False,"observation.images.image,language_instruction,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,v2.0
lerobot/cmu_stretch,lerobot,unknown,135,25016,5,observation.images.image,1,observation.images.image,True,5,"{""0"": ""open drawer"", ""1"": ""lift up a lid from the pot"", ""2"": ""lift open green garbage can lid"", ""3"": ""pull open a dishwasher"", ""4"": ""open door""}",False,False,"observation.images.image,language_instruction,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,v2.0
